Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-14,00:00:00,108,91,3
2026-09-14,00:05:00,118,95,2
2026-09-14,00:10:00,110,98,3
2026-09-14,00:15:00,102,106,1
2026-09-14,00:20:00,105,95,0
2026-09-14,00:25:00,118,85,4
2026-09-14,00:30:00,81,79,2
2026-09-14,00:35:00,92,136,0
2026-09-14,00:40:00,89,64,1
2026-09-14,00:45:00,122,97,4
2026-09-14,00:50:00,114,85,3
2026-09-14,00:55:00,103,80,2
2026-09-14,01:00:00,93,111,2
2026-09-14,01:05:00,117,102,4
2026-09-14,01:10:00,108,85,3
2026-09-14,01:15:00,80,96,1
2026-09-14,01:20:00,112,97,4
2026-09-14,01:25:00,91,88,3
2026-09-14,01:30:00,121,93,6
2026-09-14,01:35:00,100,109,4
2026-09-14,01:40:00,101,100,2
2026-09-14,01:45:00,112,93,2
2026-09-14,01:50:00,112,85,3
2026-09-14,01:55:00,112,85,2
2026-09-14,02:00:00,95,76,2
2026-09-14,02:05:00,101,83,5
2026-09-14,02:10:00,107,92,4
2026-09-14,02:15:00,110,85,4
2026-09-14,02:20:00,102,78,3
2026-09-14,02:25:00,112,89,3
2026-09-14,02:30:00,101,91,4
2026-09-14,02:35:00,118,99,3
2026-09-14,02:40:00,102,84,2
2026-09-14,02:45:00,104,87,5
2026-09-14,02:50:00,111,104,3
2026-09-14,02:55:00,92,91,0
2026-09-14,03:00:00,105,105,6
2026-09-14,03:05:00,104,87,2
