Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-30,00:00:00,993.73,19.24,1019.00,72.00
2026-08-30,00:05:00,993.76,19.24,1019.00,72.00
2026-08-30,00:10:00,993.79,19.24,1019.00,72.00
2026-08-30,00:15:00,993.82,19.24,1019.00,72.00
2026-08-30,00:20:00,993.86,19.24,1019.00,78.00
2026-08-30,00:25:00,993.88,19.24,1019.00,78.00
2026-08-30,00:30:00,993.90,19.24,1019.00,78.00
2026-08-30,00:35:00,993.89,19.24,1019.00,78.00
2026-08-30,00:40:00,993.88,19.24,1019.00,75.00
2026-08-30,00:45:00,993.86,19.24,1019.00,75.00
2026-08-30,00:50:00,993.85,19.24,1019.00,75.00
2026-08-30,00:55:00,993.83,19.24,1019.00,75.00
2026-08-30,01:00:00,993.82,19.24,1019.00,75.00
2026-08-30,01:05:00,993.82,19.24,1019.00,81.00
2026-08-30,01:10:00,993.84,19.24,1019.00,81.00
2026-08-30,01:15:00,993.86,19.08,1019.00,81.00
2026-08-30,01:20:00,993.87,19.08,1019.00,81.00
2026-08-30,01:25:00,993.86,18.24,1019.00,80.00
2026-08-30,01:30:00,993.86,18.24,1019.00,80.00
2026-08-30,01:35:00,993.87,18.24,1019.00,80.00
2026-08-30,01:40:00,993.86,18.24,1019.00,76.00
2026-08-30,01:45:00,993.86,18.24,1019.00,76.00
2026-08-30,01:50:00,993.84,18.24,1019.00,76.00
2026-08-30,01:55:00,993.84,18.24,1019.00,76.00
2026-08-30,02:00:00,993.83,18.24,1019.00,77.00
2026-08-30,02:05:00,993.85,18.24,1019.00,77.00
2026-08-30,02:10:00,993.85,18.24,1019.00,77.00
2026-08-30,02:15:00,993.85,18.24,1019.00,82.00
2026-08-30,02:20:00,993.83,18.24,1019.00,82.00
2026-08-30,02:25:00,993.84,18.24,1019.00,82.00
2026-08-30,02:30:00,993.82,18.24,1019.00,82.00
2026-08-30,02:35:00,993.80,18.24,1019.00,82.00
2026-08-30,02:40:00,993.74,18.24,1019.00,78.00
2026-08-30,02:45:00,993.70,18.24,1019.00,78.00
2026-08-30,02:50:00,993.67,18.24,1019.00,78.00
2026-08-30,02:55:00,993.63,18.24,1019.00,78.00
2026-08-30,03:00:00,993.59,18.24,1019.00,78.00
2026-08-30,03:05:00,993.53,18.24,1019.00,78.00
