Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-11,07:20:00,842.47,19.23,1014.00,88.00
2026-08-11,07:25:00,987.76,19.23,1014.00,88.00
2026-08-11,07:30:00,987.77,19.72,1014.00,86.00
2026-08-11,07:35:00,987.77,19.72,1014.00,86.00
2026-08-11,07:40:00,987.80,19.83,1014.00,85.00
2026-08-11,07:45:00,987.84,19.83,1014.00,85.00
2026-08-11,07:50:00,987.87,19.83,1014.00,85.00
2026-08-11,07:55:00,987.90,19.97,1014.00,85.00
2026-08-11,08:00:00,987.92,19.97,1014.00,85.00
2026-08-11,08:05:00,987.95,19.97,1014.00,85.00
2026-08-11,08:10:00,987.98,20.06,1014.00,85.00
2026-08-11,08:15:00,988.03,20.06,1014.00,85.00
2026-08-11,08:20:00,988.07,20.06,1014.00,85.00
2026-08-11,08:25:00,988.08,20.37,1013.00,84.00
2026-08-11,08:30:00,988.08,20.92,1014.00,78.00
2026-08-11,08:35:00,988.07,20.92,1014.00,78.00
2026-08-11,08:40:00,988.05,20.92,1014.00,78.00
2026-08-11,08:45:00,988.02,20.81,1014.00,80.00
2026-08-11,08:50:00,988.01,20.81,1014.00,80.00
