Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-29,00:00:00,995.98,14.24,1022.00,76.00
2026-08-29,00:05:00,995.97,14.24,1022.00,76.00
2026-08-29,00:10:00,995.98,14.24,1022.00,81.00
2026-08-29,00:15:00,995.98,14.24,1022.00,81.00
2026-08-29,00:20:00,995.96,12.24,1022.00,83.00
2026-08-29,00:25:00,995.97,12.24,1022.00,83.00
2026-08-29,00:30:00,995.99,12.24,1022.00,83.00
2026-08-29,00:35:00,996.03,12.24,1022.00,79.00
2026-08-29,00:40:00,996.05,12.24,1022.00,79.00
2026-08-29,00:45:00,996.05,12.24,1022.00,79.00
2026-08-29,00:50:00,996.05,12.24,1022.00,79.00
2026-08-29,00:55:00,996.06,12.24,1022.00,79.00
2026-08-29,01:00:00,996.08,12.24,1022.00,79.00
2026-08-29,01:05:00,996.11,12.24,1022.00,79.00
2026-08-29,01:10:00,996.14,13.76,1022.00,84.00
2026-08-29,01:15:00,996.16,13.76,1022.00,84.00
2026-08-29,01:20:00,996.17,13.76,1022.00,84.00
2026-08-29,01:25:00,996.19,12.24,1022.00,86.00
2026-08-29,01:30:00,996.21,12.24,1022.00,86.00
2026-08-29,01:35:00,996.24,12.24,1022.00,86.00
2026-08-29,01:40:00,996.27,12.24,1022.00,80.00
2026-08-29,01:45:00,996.28,12.24,1022.00,80.00
2026-08-29,01:50:00,996.31,12.24,1022.00,81.00
2026-08-29,01:55:00,996.30,12.24,1022.00,81.00
2026-08-29,02:00:00,996.29,12.24,1022.00,81.00
2026-08-29,02:05:00,996.27,12.24,1022.00,85.00
2026-08-29,02:10:00,996.25,12.24,1022.00,85.00
2026-08-29,02:15:00,996.23,12.24,1022.00,85.00
2026-08-29,02:20:00,996.20,12.24,1022.00,87.00
2026-08-29,02:25:00,996.17,12.24,1022.00,87.00
2026-08-29,02:30:00,996.15,12.24,1022.00,87.00
2026-08-29,02:35:00,996.15,12.24,1022.00,78.00
2026-08-29,02:40:00,996.14,12.24,1022.00,78.00
2026-08-29,02:45:00,996.12,12.24,1022.00,78.00
2026-08-29,02:50:00,996.10,12.24,1022.00,78.00
2026-08-29,02:55:00,996.07,12.24,1022.00,78.00
2026-08-29,03:00:00,996.05,12.24,1022.00,78.00
2026-08-29,03:05:00,996.06,12.24,1022.00,78.00
2026-08-29,03:10:00,996.07,12.24,1022.00,78.00
2026-08-29,03:15:00,996.07,11.24,1022.00,86.00
2026-08-29,03:20:00,996.04,11.24,1022.00,86.00
2026-08-29,03:25:00,996.00,11.24,1022.00,86.00
2026-08-29,03:30:00,995.97,11.24,1022.00,86.00
2026-08-29,03:35:00,995.96,11.24,1022.00,86.00
2026-08-29,03:40:00,995.93,11.24,1022.00,86.00
2026-08-29,03:45:00,995.92,11.24,1022.00,79.00
2026-08-29,03:50:00,995.88,11.24,1022.00,79.00
2026-08-29,03:55:00,995.87,11.24,1022.00,79.00
2026-08-29,04:00:00,995.89,11.24,1022.00,79.00
2026-08-29,04:05:00,995.89,11.24,1022.00,79.00
2026-08-29,04:10:00,995.90,11.24,1022.00,85.00
2026-08-29,04:15:00,995.91,11.24,1022.00,85.00
2026-08-29,04:20:00,995.93,11.24,1022.00,85.00
2026-08-29,04:25:00,995.94,11.24,1022.00,86.00
2026-08-29,04:30:00,995.96,11.24,1022.00,86.00
2026-08-29,04:35:00,996.00,11.24,1022.00,79.00
2026-08-29,04:40:00,996.04,11.24,1022.00,79.00
2026-08-29,04:45:00,996.08,11.24,1022.00,79.00
2026-08-29,04:50:00,996.11,11.24,1022.00,79.00
2026-08-29,04:55:00,996.15,11.24,1022.00,79.00
2026-08-29,05:00:00,996.18,11.24,1022.00,79.00
2026-08-29,05:05:00,996.23,11.24,1022.00,85.00
2026-08-29,05:10:00,996.27,11.24,1022.00,85.00
2026-08-29,05:15:00,996.30,11.24,1022.00,85.00
2026-08-29,05:20:00,996.33,11.24,1022.00,85.00
2026-08-29,05:25:00,996.36,11.24,1022.00,85.00
2026-08-29,05:30:00,996.37,11.24,1022.00,83.00
2026-08-29,05:35:00,996.38,11.24,1022.00,83.00
2026-08-29,05:40:00,996.39,11.24,1022.00,83.00
2026-08-29,05:45:00,996.38,11.24,1022.00,83.00
2026-08-29,05:50:00,996.36,11.24,1022.00,83.00
2026-08-29,05:55:00,996.36,11.24,1022.00,83.00
2026-08-29,06:00:00,996.36,11.24,1022.00,83.00
2026-08-29,06:05:00,996.34,11.24,1022.00,83.00
2026-08-29,06:10:00,996.33,11.24,1022.00,83.00
