Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-09-08,08:40:00,842.47,16.24,1024.00,83.00
2026-09-08,08:45:00,998.33,16.24,1024.00,83.00
2026-09-08,08:50:00,998.35,16.24,1024.00,83.00
2026-09-08,08:55:00,998.38,16.24,1024.00,80.00
2026-09-08,09:00:00,998.41,16.24,1024.00,80.00
2026-09-08,09:05:00,998.45,16.24,1024.00,80.00
2026-09-08,09:10:00,998.49,17.89,1024.00,81.00
2026-09-08,09:15:00,998.51,17.89,1024.00,81.00
2026-09-08,09:20:00,998.54,19.24,1024.00,79.00
2026-09-08,09:25:00,998.55,19.24,1024.00,79.00
2026-09-08,09:30:00,998.57,19.24,1024.00,79.00
2026-09-08,09:35:00,998.60,19.24,1024.00,79.00
2026-09-08,09:40:00,998.63,19.24,1024.00,73.00
